Coach,Team,From,To,G,W,L,T,W-L%,G plyf,W plyf,L plyf,Chmp,Tenure,Current,Standard WP,Playoffs,SB,W-L
Mike Holovak,NE,1966,1968,42,15,24,3,0.357,0,0,0,0,3,0,-0.520926115,0,0,-9
Mike Martz,LAR,2000,2005,85,53,32,0,0.624,7,3,4,0,6,0,1.287455476,1,0,21
Mike McCarthy,GB,2006,2018,204,125,77,2,0.613,18,10,8,1,13,0,1.212952864,1,1,48
Mike McCarthy,DAL,2020,2021,33,18,15,0,0.545,0,0,0,0,2,1,0.75239126,0,0,3
Mike McCormack+,PHI,1973,1975,42,16,25,1,0.381,0,0,0,0,3,0,-0.35837496,0,0,-9
Mike McCormack+,IND,1980,1981,32,9,23,0,0.281,0,0,0,0,2,0,-1.035671436,0,0,-14
Mike McCoy,LAC,2013,2016,64,27,37,0,0.422,2,1,1,0,4,0,-0.080683405,1,0,-10
Mike Mularkey,TEN,2015,2017,41,20,21,0,0.488,2,1,1,0,3,0,0.366332269,1,0,-1
Mike Mularkey,BUF,2004,2005,32,14,18,0,0.438,0,0,0,0,2,0,0.027684031,0,0,-4
Mike Mularkey,JAX,2012,2012,16,2,14,0,0.125,0,0,0,0,1,0,-2.092253939,0,0,-12
Mike Munchak+,TEN,2011,2013,48,22,26,0,0.458,0,0,0,0,3,0,0.163143326,0,0,-4
Mike Nolan,SFO,2005,2008,55,18,37,0,0.327,0,0,0,0,4,0,-0.724115057,0,0,-19
Mike Pettine,CLE,2014,2015,32,10,22,0,0.313,0,0,0,0,2,0,-0.818936564,0,0,-12
Mike Riley,LAC,1999,2001,48,14,34,0,0.292,0,0,0,0,3,0,-0.961168824,0,0,-20
Mike Shanahan,DEN,1995,2008,224,138,86,0,0.616,13,8,5,2,14,0,1.233271758,1,1,52
Mike Shanahan,LV,1988,1989,20,8,12,0,0.4,0,0,0,0,2,0,-0.22968863,0,0,-4
Mike Shanahan,WFT,2010,2013,64,24,40,0,0.375,1,0,1,0,4,0,-0.399012749,1,0,-16
Mike Sherman,GB,2000,2005,96,57,39,0,0.594,6,2,4,0,6,0,1.084266533,1,0,18
Mike Singletary+,SFO,2008,2010,40,18,22,0,0.45,0,0,0,0,3,0,0.108959608,0,0,-4
Mike Smith,ATL,2008,2014,112,66,46,0,0.589,5,1,4,0,7,0,1.05040171,1,0,20
Mike Tice,MIN,2001,2005,65,32,33,0,0.492,2,1,1,0,5,0,0.393424128,1,0,-1
Mike Tomlin,PIT,2007,2021,241,154,85,2,0.639,16,8,8,1,15,1,1.389049947,1,1,69
Mike Vrabel,TEN,2018,2021,65,41,24,0,0.631,4,2,2,0,4,1,1.334866229,1,0,17
Mike White,LV,1995,1996,32,15,17,0,0.469,0,0,0,0,2,0,0.237645938,0,0,-2
Mike Zimmer,MIN,2014,2021,129,72,56,1,0.558,5,2,3,0,8,1,0.840439802,1,0,16
Monte Clark,SFO,1976,1976,14,8,6,0,0.571,0,0,0,0,1,0,0.928488344,0,0,2
Monte Clark,DET,1978,1984,105,43,61,1,0.41,2,0,2,0,7,0,-0.161958982,1,0,-18
Neill Armstrong,CHI,1978,1981,64,30,34,0,0.469,1,0,1,0,4,0,0.237645938,1,0,-4
Nick Saban,MIA,2005,2006,32,15,17,0,0.469,0,0,0,0,2,0,0.237645938,0,0,-2
Nick Sirianni,PHI,2021,2021,17,9,8,0,0.529,0,0,0,0,1,1,0.644023824,0,0,1
Nick Skorich,CLE,1971,1974,56,30,24,2,0.536,2,0,2,0,4,0,0.691434577,1,0,6
Norb Hecker,ATL,1966,1968,31,4,26,1,0.129,0,0,0,0,3,0,-2.06516208,0,0,-22
Norm Van Brocklin+,ATL,1968,1974,89,37,49,3,0.416,0,0,0,0,7,0,-0.121321194,0,0,-12
Norm Van Brocklin+,MIN,1966,1966,14,4,9,1,0.286,0,0,0,0,1,0,-1.001806613,0,0,-5
Norv Turner,LAC,2007,2012,96,56,40,0,0.583,6,3,3,0,6,0,1.009763921,1,0,16
Norv Turner,WFT,1994,2000,109,49,59,1,0.45,2,1,1,0,7,0,0.108959608,1,0,-10
Norv Turner,LV,2004,2005,32,9,23,0,0.281,0,0,0,0,2,0,-1.035671436,0,0,-14
Otto Graham+,WFT,1966,1968,42,17,22,3,0.405,0,0,0,0,3,0,-0.195823806,0,0,-5
Pat Shurmur,CLE,2011,2012,32,9,23,0,0.281,0,0,0,0,2,0,-1.035671436,0,0,-14
Pat Shurmur,NYG,2018,2019,32,9,23,0,0.281,0,0,0,0,2,0,-1.035671436,0,0,-14
Paul Brown+,CIN,1968,1975,112,55,56,1,0.491,3,0,3,0,8,0,0.386651163,1,0,-1
Paul Wiggin,KC,1975,1977,35,11,24,0,0.314,0,0,0,0,3,0,-0.812163599,0,0,-13
Pete Carroll,SEA,2010,2021,193,119,73,1,0.617,18,10,8,1,12,1,1.240044723,1,1,46
Pete Carroll,NE,1997,1999,48,27,21,0,0.563,3,1,2,0,3,0,0.874304626,1,0,6
Pete Carroll,NYJ,1994,1994,16,6,10,0,0.375,0,0,0,0,1,0,-0.399012749,0,0,-4
Pete McCulley,SFO,1978,1978,9,1,8,0,0.111,0,0,0,0,1,0,-2.187075446,0,0,-7
Phil Bengtson,GB,1968,1970,42,20,21,1,0.476,0,0,0,0,3,0,0.285056692,0,0,-1
Raheem Morris,TB,2009,2011,48,17,31,0,0.354,0,0,0,0,3,0,-0.541245009,0,0,-14
Ray Handley,NYG,1991,1992,32,14,18,0,0.438,0,0,0,0,2,0,0.027684031,0,0,-4
Ray Malavasi,LAR,1978,1982,73,40,33,0,0.548,6,3,3,0,5,0,0.772710154,1,0,7
Ray Perkins,NYG,1979,1982,57,23,34,0,0.404,2,1,1,0,4,0,-0.202596771,1,0,-11
Ray Perkins,TB,1987,1990,60,19,41,0,0.317,0,0,0,0,4,0,-0.791844705,0,0,-22
Ray Rhodes,GB,1999,1999,16,8,8,0,0.5,0,0,0,0,1,0,0.447607846,0,0,0
